,date,gender,age,lat,lng,url
4860,2013-05-22,F,40.0,35.9940329,-78.898619,http://www.wral.com/two-killed-in-durham-shooting/12475013/
4861,2013-05-22,M,45.0,35.9940329,-78.898619,http://www.wral.com/two-killed-in-durham-shooting/12475013/
4862,2013-05-22,M,43.0,32.962582,-97.15113515099091,http://www.nbcdfw.com/news/local/Feds-Investigate-Possible-Cartel-Connections-in-Southlake-Shooting-208627701.html
4863,2013-05-22,M,18.0,38.0464066,-84.4970393,http://www.kentucky.com/2013/05/23/2650660/victim-killed-in-lexington-shooting.html
4864,2013-05-22,M,41.0,29.50317955,-90.36353872460859,http://www.wwl.com/Cops--Cutoff-resident-killed-man-who-wouldn-t-say-/16424542
4865,2013-05-22,M,37.0,46.5927122,-112.036109,http://www.ktvq.com/news/helena-burglary-suspect-killed-by-homeowner-may-be-linked-to-other-crimes/
4866,2013-05-22,F,14.0,32.8967899,-96.2982136,http://healthblog.dallasnews.com/2013/06/despair-and-guns-a-deadly-mix-for-two-rockwall-girls-who-had-everything-to-live-for.html/
4867,2013-05-22,M,22.0,41.8756208,-87.6243706,http://homicides.suntimes.com/victims/trevin-hullum/
4868,2013-05-22,F,34.0,38.3553236,-87.5675223,http://www.courierpress.com/news/2013/may/23/no-headline---princeton_folo/
4869,2013-05-23,M,23.0,34.0536781,-118.2427025,http://projects.latimes.com/homicide/post/david-davon-matthewis/
4870,2013-05-23,M,22.0,34.0536781,-118.2427025,http://projects.latimes.com/homicide/post/jose-luis-murillo/
