,names,state,males,females,lat,lng,total_deaths
2683,"Opa-Locka, Florida",FL,5,0,25.89695285,-80.2595090142408,5
2684,"Opa-locka, Florida",FL,1,0,25.8969431,-80.25950845302641,1
2685,"Opa-locka , Florida",FL,1,0,25.8969431,-80.25950845302641,1
2686,"Orange City, Florida",FL,3,1,28.9488761,-81.2986741,4
2687,"Orange County, Florida",FL,14,3,28.51,-81.32,17
2688,"Orange Park, Florida",FL,1,2,30.1660736,-81.706484,3
2689,"Orlando, Florida",FL,27,6,28.5421175,-81.3790462,33
2690,"Overtown, Florida",FL,1,0,25.7809311,-80.1963077,1
2691,"Pahokee, Florida",FL,1,1,26.8200607,-80.6653351,2
2692,"Palatka, Florida",FL,1,0,29.6487882,-81.6372111,1
2693,"Palm Bay, Florida",FL,3,1,28.0331886,-80.6429695,4
2694,"Palm Beach, Florida",FL,6,0,26.7056206,-80.0364297,6
2695,"Palm Beach County, Florida",FL,3,0,26.64580255,-80.4336062511564,3
2696,"Palm Coast, Florida",FL,3,1,29.5541432,-81.2207673,4
2697,"Palmetto Bay, Florida",FL,1,0,25.6220425,-80.32099604101491,1
2698,"Panama City, Florida",FL,3,3,30.1600827,-85.6545729,6
2699,"Panama City Beach, Florida",FL,3,0,30.1765914,-85.8054879,3
2700,"Pasco County, Florida",FL,1,0,28.32438455,-82.4253133903748,1
2701,"Pembroke Pines, Florida",FL,2,1,26.0236064,-80.3412536198487,3
2702,"Pensacola, Florida",FL,6,2,30.421309,-87.2169149,8
2703,"Pensacola Beach, Florida",FL,1,0,30.3335333,-87.1374676,1
2704,"Pine Hills, Florida",FL,6,0,28.5829077,-81.4618293703871,6
2705,"Pine Manor, Florida",FL,1,0,26.5739705,-81.8781102107837,1
2706,"Pinellas Park, Florida",FL,2,0,27.86002,-82.7043884502688,2
2707,"Plantation, Florida",FL,1,0,27.0643665,-82.36830710798921,1
2708,"Plymouth, Florida",FL,1,0,28.6922188,-81.547295,1
2709,"Poinciana, Florida",FL,1,0,28.1402939,-81.4584058,1
2710,"Pompano Beach, Florida",FL,6,0,26.2378597,-80.1247667,6
2711,"Port Charlotte, Florida",FL,2,0,26.9824735,-82.1068853736099,2
2712,"Port Orange, Florida",FL,1,0,29.101177,-81.01054670665191,1
2713,"Port Richey, Florida",FL,1,0,28.2716755,-82.7195451,1
2714,"Port St. Lucie, Florida",FL,1,0,27.2939333,-80.3503283,1
